,학정번호,강의명/교수명,별점,final_성적,final_교수,final_로드,final_강의력,족보여부,강의자료질
107,YCC1102-01-00,대학영어Ⅱ/전진희,4.0,0.85,0.5,0.85,0.0,0.0,0.5
108,YCC1102-01-00,대학영어Ⅱ/전진희,5.0,0.15,0.5,0.15,0.0,0.0,0.5
109,YCC1102-01-00,대학영어Ⅱ/전진희,5.0,0.85,0.85,0.85,0.7,0.0,0.5
110,YCC1102-01-00,대학영어Ⅱ/전진희,4.0,0.85,0.85,0.85,0.7,0.0,0.5
111,YCC1102-01-00,대학영어Ⅱ/전진희,5.0,0.5,0.5,0.5,0.0,0.0,0.5
112,YCC1102-01-00,대학영어Ⅱ/전진희,5.0,0.15,0.5,0.5,0.0,0.0,0.5
113,YCC1102-01-00,대학영어Ⅱ/전진희,3.0,0.15,0.5,0.15,0.0,0.0,0.5
114,YCC1102-01-00,대학영어Ⅱ/전진희,3.0,0.5,0.5,0.5,0.0,0.0,0.5
115,YCC1102-01-00,대학영어Ⅱ/전진희,4.0,0.5,0.85,0.5,0.7,0.0,0.5
116,YCC1102-01-00,대학영어Ⅱ/전진희,5.0,0.85,0.5,0.5,0.0,0.0,0.5
117,YCC1102-01-00,대학영어Ⅱ/전진희,5.0,0.15,0.5,0.15,0.0,0.0,0.5
118,YCC1102-01-00,대학영어Ⅱ/전진희,1.0,0.85,0.5,0.5,0.0,0.0,0.5
119,YCC1102-01-00,대학영어Ⅱ/전진희,4.0,0.5,0.5,0.85,0.0,0.0,0.5
120,YCC1102-01-00,대학영어Ⅱ/전진희,3.0,0.15,0.5,0.15,0.0,0.0,0.5
121,YCC1102-01-00,대학영어Ⅱ/전진희,3.0,0.85,0.5,0.85,0.0,0.0,0.5
122,YCC1102-01-00,대학영어Ⅱ/전진희,5.0,0.85,0.5,0.5,0.0,0.0,0.5
123,YCC1102-01-00,대학영어Ⅱ/전진희,4.0,0.5,0.5,0.5,0.0,0.0,0.5
124,YCC1102-01-00,대학영어Ⅱ/전진희,3.0,0.5,0.5,0.15,0.0,0.0,0.5
125,YCC1102-01-00,대학영어Ⅱ/전진희,3.0,0.85,0.5,0.5,0.0,0.0,0.5
126,YCC1102-01-00,대학영어Ⅱ/전진희,4.0,0.85,0.5,0.5,0.0,0.0,0.5
127,YCC1102-01-00,대학영어Ⅱ/전진희,4.0,0.5,0.5,0.15,0.0,0.0,0.5
128,YCC1102-01-00,대학영어Ⅱ/전진희,3.0,0.85,0.5,0.85,0.0,0.0,0.5
129,YCC1102-01-00,대학영어Ⅱ/전진희,5.0,0.5,0.5,0.5,0.0,0.0,0.5
130,YCC1102-01-00,대학영어Ⅱ/전진희,2.0,0.5,0.5,0.5,0.0,0.0,0.5
131,YCC1102-01-00,대학영어Ⅱ/전진희,5.0,0.85,0.5,0.85,0.0,0.0,0.5
132,YCC1102-01-00,대학영어Ⅱ/전진희,4.0,0.85,0.5,0.5,0.0,0.0,0.5
133,YCC1102-01-00,대학영어Ⅱ/전진희,4.0,0.85,0.85,0.5,0.7,0.0,0.5
134,YCC1102-01-00,대학영어Ⅱ/전진희,3.0,0.85,0.5,0.5,0.0,0.0,0.5
135,YCC1102-02-00,대학영어Ⅱ/오진숙,5.0,1.0,1.0,0.5,0.5,0.0,0.5
136,YCC1102-02-00,대학영어Ⅱ/오진숙,5.0,0.3,1.0,0.15,0.5,0.0,0.5
137,YCC1102-02-00,대학영어Ⅱ/오진숙,5.0,1.0,1.0,0.85,0.5,0.0,0.5
138,YCC1102-02-00,대학영어Ⅱ/오진숙,5.0,1.0,1.0,0.85,0.5,0.0,0.5
139,YCC1102-02-00,대학영어Ⅱ/오진숙,5.0,1.0,1.0,0.5,0.5,0.0,0.5
140,YCC1102-02-00,대학영어Ⅱ/오진숙,5.0,1.0,1.0,0.85,0.5,0.0,0.5
